"region","system","network","isIO","instanceId","vCpu","memory","intranetGbps","intranetPPS","hourlyPrice","weeklyPrice","standard","monthlyPrice","yearlyPrice","2yearPrice","3yearPrice","4yearPrice","5yearPrice"
"cn-heyuan","windows","vpc","true","ecs.s6-c1m1.small",1,1,0.1,15,"0.11","9.23","33.0","33.0","336.6","554.4","653.4","712.8","752.4"
"cn-heyuan","windows","vpc","true","ecs.s6-c1m2.small",1,2,0.1,15,"0.21","16.79","60.0","60.0","612.0","1008.0","1188.0","1296.0","1368.0"
"cn-heyuan","windows","vpc","true","ecs.s6-c1m4.small",1,4,0.1,15,"0.31","25.19","90.0","90.0","918.0","1512.0","1782.0","1944.0","2052.0"
"cn-heyuan","windows","vpc","true","ecs.t6-c2m1.large",2,1,0.08,6,"0.059","4.75","17.0","17.0","173.4","285.6","336.6","367.2","387.6"
"cn-heyuan","windows","vpc","true","ecs.t6-c1m1.large",2,2,0.08,10,"0.118","9.51","34.0","34.0","346.8","571.2","673.2","734.4","775.2"
"cn-heyuan","windows","vpc","true","ecs.t6-c1m2.large",2,4,0.08,10,"0.236","19.03","68.0","68.0","693.6","1142.4","1346.4","1468.8","1550.4"
"cn-heyuan","windows","vpc","true","ecs.s6-c1m2.large",2,4,0.2,20,"0.42","33.59","120.0","120.0","1224.0","2016.0","2376.0","2592.0","2736.0"
"cn-heyuan","windows","vpc","true","ecs.c6e.large",2,4,10,90,"0.41","55.15","197.0","197.0","2009.4","3309.6","3900.6","4255.2","4491.6"
"cn-heyuan","windows","vpc","true","ecs.hfc6.large",2,4,1,30,"0.448","60.19","215.0","215.0","2193.0","3612.0","4257.0","4644.0","4902.0"
"cn-heyuan","windows","vpc","true","ecs.c6.large",2,4,1,30,"0.39","52.35","187.0","187.0","1907.4","3141.6","3702.6","4039.2","4263.6"
"cn-heyuan","windows","vpc","true","ecs.t6-c1m4.large",2,8,0.08,10,"0.472","38.07","136.0","136.0","1387.2","2284.8","2692.8","2937.6","3100.8"
"cn-heyuan","windows","vpc","true","ecs.s6-c1m4.large",2,8,0.4,20,"0.63","50.39","180.0","180.0","1836.0","3024.0","3564.0","3888.0","4104.0"
"cn-heyuan","windows","vpc","true","ecs.hfg6.large",2,8,1,30,"0.55","73.91","264.0","264.0","2692.8","4435.2","5227.2","5702.4","6019.2"
"cn-heyuan","windows","vpc","true","ecs.g6e.large",2,8,10,90,"0.55","73.91","264.0","264.0","2692.8","4435.2","5227.2","5702.4","6019.2"
