,ali_uid,Ali_hw,Ali_bw1,Ali_bw2,Ali_bw3,ens_ali_hw,ens_ali_bw,ens_all_cost,Huawei_hw,Huawei_bw1,Huawei_bw2,Huawei_bw3
0,64389,4418189.231,52405653,41994654.1,71014147,2269955.751,13987991.31,16257947.06,4461377.171,52402964,40904569.23,71014147
1,98051,2574172,23738171,12531420.14,20468613.21,2561929,3807377.38,6369306.38,2616542.46,23731503,12451793.75,20468613.21
2,78131,689328,12732665,833999.9905,1148518.348,667800,2396274.234,3064074.234,699855.3,12730775,1252276.912,1148518.348
3,66394,1200952,12277751,6243679.634,13407298.31,1164135,1775225.197,2939360.197,1217454.9,12274369,6427828.338,13407298.31
4,48944,305534,6890084,6946741.837,15105639.82,322052.5,1401615.918,1723668.418,308445.7,6888368,6475809.947,15105639.82
5,52024,963412,2058903,1406447.624,3675211.449,971376,484635.1852,1456011.185,978709.3,2054137,1442324.513,3675211.449
6,80365,1309520,92209,878.0483003,5323.1692,1350524,2452.62936,1352976.629,1298848,91755,1626.999396,5323.1692
7,22399,192172,6037905,3831330.469,7035508.06,187999,971155.4084,1159154.408,195146.6,6036885,3907694.676,7035508.06
8,31102,306392.4,2960520,2790800.047,4646390.473,291532.5,615824.5997,907357.0997,298991.845,2959472,2459684.432,4646390.473
9,77787,335992,1494608,794429.1146,1965133.771,330659,386011.4018,716670.4018,313577.1,1492104,830076.4532,1965133.771
10,64892,596026.4,5010754,364121.1669,558217.9409,460978,169626.6964,630604.6964,681135.25,5010008,387820.9978,558217.9409
11,15301,2592556,85632,131736.1169,177608.8265,571815,42431.92008,614246.9201,886059.93,83956,120575.6179,177608.8265
12,83822,123340.8,1922262,786682.7715,1153261.948,115640,398371.3717,514011.3717,124863.5,1921762,825044.0704,1153261.948
13,25295,194516,3200799,1059251.37,1197954.274,173193,276493.9081,449686.9081,263351.96,3200459,932689.5148,1197954.274
14,13404,38512,1493600,160343.362,232902.1907,31848,242486.6391,274334.6391,33778.5,1493280,211537.9648,232902.1907
15,76645,108532,964650,464517.0169,848080.2903,102907,154884.3643,257791.3643,108499.7,964150,479153.4513,848080.2903
16,12347,180224,470048,21431.99363,60746.75874,184177,47948.63831,232125.6383,180238.3,468756,35372.07968,60746.75874
17,68873,581508,4965,1.963481763,7.78507269,223839,1021.83016,224860.8302,582009.3,4875,17.31186792,7.78507269
18,14878,82720,856143,666302.1062,1177649.766,70488,152924.0636,223412.0636,77957.66,855733,648128.7923,1177649.766
19,69166,164224,55017,4792.159595,28007.42097,159550,4875.085264,164425.0853,139404.16,54321,4913.746325,28007.42097
20,48776,81884,1056879,34053.96505,89214.658,81472.6,77061.87076,158534.4708,66555.89,1056452,61183.10712,89214.658
21,2766,57184,318063,264323.421,681877.3397,60655,95564.73038,156219.7304,45214.9,317343,259802.0924,681877.3397
22,4588,62322.4,260747,408980.66,477527.2893,49775.8,82295.5056,132071.3056,62192.72,260460,366326.7289,477527.2893
23,89110,120891,1259145,3412.383087,23746.21468,118193.25,1792.941646,119986.1916,98543.1,1259095,7205.231489,23746.21468
24,55644,82968,739118,1238.735098,4376.571625,79964,34934.7069,114898.7069,68689.06,737355,6832.601834,4376.571625
25,19570,79472,4614850,32719.88186,242715.2782,83172,31256.48505,114428.4851,63345.2,4613358,55013.28898,242715.2782
26,59604,96638,119044,7129.772944,26747.94127,93789.5,14802.70152,108592.2015,78977.3,117919,22061.25955,26747.94127
27,15219,55580,439608,31854.11546,137280.0673,54698,43849.53121,98547.53121,46567,437482,49761.70958,137280.0673
28,33259,32288,179623,138148.8419,287353.1125,31612,36666.19413,68278.19413,32788.5,179463,143501.3835,287353.1125
29,46473,6816,371989,69817.48646,160873.3901,7427,55548.6192,62975.6192,5430.08,371692,91316.82082,160873.3901
30,90665,65928,209220,805.9225785,6828.855057,53977,1000.038498,54977.0385,56847.52,208943,1556.284958,6828.855057
31,24018,6800,280321,186912.5892,216550.5036,7182,47018.15496,54200.15496,6839.6,280267,176890.2607,216550.5036
32,52759,63096.8,255293,1071.641218,2661.39312,52891.2,533.34513,53424.54513,58350.3,255111,2462.225837,2661.39312
